MeterType,the_geom,MeterNo,LONG,LAT,Status,Borough
Strada,POINT (-73.99766956207522 40.60394227214399),3073071,-73.9976695621,40.6039422721,Active,Brooklyn
Strada,POINT (-73.99725645935422 40.603893971636374),3073072,-73.9972564594,40.6038939716,Active,Brooklyn
Strada,POINT (-73.99689492823451 40.603558989887716),3073074,-73.9968949282,40.6035589899,Active,Brooklyn
Strada,POINT (-73.99650185856665 40.60344234028983),3073075,-73.9965018586,40.6034423403,Active,Brooklyn
Strada,POINT (-73.9958289446835 40.603580709152745),3073077,-73.9958289447,40.6035807092,Active,Brooklyn
Strada,POINT (-73.99634732894943 40.60355949248922),3073078,-73.9963473289,40.6035594925,Active,Brooklyn
Strada,POINT (-73.99695610973349 40.603933024212694),3073079,-73.9969561097,40.6039330242,Active,Brooklyn
Strada,POINT (-73.99754084447122 40.604291791731136),3073080,-73.9975408445,40.6042917917,Active,Brooklyn
Strada,POINT (-73.99784029263172 40.60491176202509),3073081,-73.9978402926,40.604911762,Active,Brooklyn
Strada,POINT (-73.99737371757746 40.60500302380026),3073082,-73.9973737176,40.6050030238,Active,Brooklyn
Strada,POINT (-73.9972574057272 40.60547636866435),3073083,-73.9972574057,40.6054763687,Active,Brooklyn
Strada,POINT (-73.99744154059171 40.605479500422916),3073084,-73.9974415406,40.6054795004,Active,Brooklyn
Strada,POINT (-73.99797502556406 40.60497245334577),3073085,-73.9979750256,40.6049724533,Active,Brooklyn
Strada,POINT (-73.99858199557158 40.604910349844275),3073086,-73.9985819956,40.6049103498,Active,Brooklyn
Strada,POINT (-73.9990229427205 40.60518196442793),3073087,-73.9990229427,40.6051819644,Active,Brooklyn
Strada,POINT (-73.99953714403328 40.60548974438676),3073088,-73.999537144,40.6054897444,Active,Brooklyn
Strada,POINT (-74.00004554159727 40.60579241427872),3073089,-74.0000455416,40.6057924143,Active,Brooklyn
Strada,POINT (-74.00008016378811 40.6062051278748),3073090,-74.0000801638,40.6062051279,Active,Brooklyn
Strada,POINT (-74.00016563651211 40.6063077746516),3073091,-74.0001656365,40.6063077747,Active,Brooklyn
Strada,POINT (-74.00140734012497 40.60900751817007),3073093,-74.0014073401,40.6090075182,Active,Brooklyn
Strada,POINT (-73.8371096916557 40.580917877469815),4760005,-73.8371096917,40.5809178775,Active,Queens
Strada,POINT (-73.95936351769102 40.575854029916144),3083023,-73.9593635177,40.5758540299,Active,Brooklyn
Strada,POINT (-73.95939914650074 40.576351629971285),3083024,-73.9593991465,40.57635163,Active,Brooklyn
Strada,POINT (-73.9594374876618 40.57684507142847),3083025,-73.9594374877,40.5768450714,Active,Brooklyn
Strada,POINT (-73.95947443822948 40.577311080588856),3083026,-73.9594744382,40.5773110806,Active,Brooklyn
Strada,POINT (-73.99629849377845 40.603131735784),3073076,-73.9962984938,40.6031317358,Active,Brooklyn
Strada,POINT (-73.96949359633074 40.57631693555865),3083002,-73.9694935963,40.5763169356,Active,Brooklyn
Strada,POINT (-73.96638975367013 40.57626624701203),3083006,-73.9663897537,40.576266247,Active,Brooklyn
Strada,POINT (-73.96584955713467 40.57647732369737),3083008,-73.9658495571,40.5764773237,Active,Brooklyn
Strada,POINT (-73.96314512868699 40.577342586109765),3083048,-73.9631451287,40.5773425861,Active,Brooklyn
Strada,POINT (-73.96807080590055 40.57687600777373),3083060,-73.9680708059,40.5768760078,Active,Brooklyn
Strada,POINT (-73.81038868565415 40.71943983442466),4433003,-73.8103886857,40.7194398344,Active,Queens
Strada,POINT (-74.01047396491971 40.63046085584698),3443007,-74.0104739649,40.6304608558,Active,Brooklyn
Strada,POINT (-74.0105568373432 40.62983309432649),3443004,-74.0105568373,40.6298330943,Active,Brooklyn
Strada,POINT (-74.01119191434805 40.630034348100395),3443002,-74.0111919143,40.6300343481,Active,Brooklyn
Strada,POINT (-74.01094735577979 40.62988678280133),3443003,-74.0109473558,40.6298867828,Active,Brooklyn
Strada,POINT (-74.0111973533869 40.62988392569168),3443001,-74.0111973534,40.6298839257,Active,Brooklyn
Strada,POINT (-74.02401426417444 40.62005980484769),3093012,-74.0240142642,40.6200598048,Active,Brooklyn
Strada,POINT (-74.02499156322146 40.620650769309165),3093011,-74.0249915632,40.6206507693,Active,Brooklyn
Strada,POINT (-74.02566868272349 40.621056793540966),3093010,-74.0256686827,40.6210567935,Active,Brooklyn
Strada,POINT (-74.0268847190554 40.62179170671581),3093009,-74.0268847191,40.6217917067,Active,Brooklyn
Strada,POINT (-74.02732918886507 40.62205995516664),3093008,-74.0273291889,40.6220599552,Active,Brooklyn
Strada,POINT (-74.02773530310108 40.62230504706911),3093007,-74.0277353031,40.6223050471,Active,Brooklyn
Strada,POINT (-74.0254963082249 40.62116063218356),3093006,-74.0254963082,40.6211606322,Active,Brooklyn
Strada,POINT (-74.02499252003688 40.62085787889182),3093005,-74.02499252,40.6208578789,Active,Brooklyn
Strada,POINT (-74.02395589443613 40.62023910705012),3093004,-74.0239558944,40.6202391071,Active,Brooklyn
Strada,POINT (-73.9924205173882 40.733818109967686),1153017,-73.9924205174,40.73381811,Inactive,Manhattan
